old_path,new_path,type,status
/a--battle-truth-over-saudi-arabias-ties-911,/news/-battle-truth-over-saudi-arabias-ties-911,article,301
/a--bc-research-project-gave-homeless-people-7500-each--results-were-beautifully-surprising,/news/-bc-research-project-gave-homeless-people-7500-each--results-were-beautifully-surprising,article,301
/a--bcci-whitewash,/news/-bcci-whitewash,article,301
/a--bed-with-big-pharma-corruption-fears-as-report-finds-us-doctors-received-record-12bn-pharma-payments-past-decade,/news/-bed-with-big-pharma-corruption-fears-as-report-finds-us-doctors-received-record-12bn-pharma-payments-past-decade,article,301
/a--beekeeper-sinjar-dunya-mikhail-review--iraqi-oskar-schindler,/news/-beekeeper-sinjar-dunya-mikhail-review--iraqi-oskar-schindler,article,301
/a--beijing-two-wheels-only-smartphone-away,/news/-beijing-two-wheels-only-smartphone-away,article,301
/a--bernie-sanders-show-interactive-tv-talk-the-era-facebook-activism,/news/-bernie-sanders-show-interactive-tv-talk-the-era-facebook-activism,article,301
/a--best-idea-a-long-time-covering-parking-lots-with-solar-panels,/news/-best-idea-a-long-time-covering-parking-lots-with-solar-panels,article,301
/a--best-way-restore-rainforest-simply-leave-it-be,/news/-best-way-restore-rainforest-simply-leave-it-be,article,301
/a--best-yale-classes-you-can-take-online-free--including-most-popular-course-the-universitys-history,/news/-best-yale-classes-you-can-take-online-free--including-most-popular-course-the-universitys-history,article,301
/a--bestselling-drugs-america,/news/-bestselling-drugs-america,article,301
/a--better-angels-our-nature-steven-pinker--review,/news/-better-angels-our-nature-steven-pinker--review,article,301
/a--bias-machine-how-google-tells-you-what-you-want-hear,/news/-bias-machine-how-google-tells-you-what-you-want-hear,article,301
/a--bid-ensure-no-one-dies-alone,/news/-bid-ensure-no-one-dies-alone,article,301
/a--biden-administration-confirms-some-but-not-all-trumps-wuhan-lab-claims,/news/-biden-administration-confirms-some-but-not-all-trumps-wuhan-lab-claims,article,301
/a--biden-administration-tried-censor-this-stanford-doctor-but-he-won-court,/news/-biden-administration-tried-censor-this-stanford-doctor-but-he-won-court,article,301
/a--biden-appointee-spearheading-ai-accountability-has-close-ties-google,/news/-biden-appointee-spearheading-ai-accountability-has-close-ties-google,article,301
/a--biden-willing-damage-relations-with-staunch-ally-like-australia-his-headlong-prosecution-julian-assange,/news/-biden-willing-damage-relations-with-staunch-ally-like-australia-his-headlong-prosecution-julian-assange,article,301
/a--bidenbig-tech-collusion-case,/news/-bidenbig-tech-collusion-case,article,301
/a--big-business-bad-prison-food,/news/-big-business-bad-prison-food,article,301
/a--big-idea-small-farms-how-link-agriculture-nutrition-public-health,/news/-big-idea-small-farms-how-link-agriculture-nutrition-public-health,article,301
/a--big-lie-election-denialism-an-art-practiced-both-sides,/news/-big-lie-election-denialism-an-art-practiced-both-sides,article,301
/a--big-oil-lawsuits-echoing-ones-against-big-tobacco,/news/-big-oil-lawsuits-echoing-ones-against-big-tobacco,article,301
/a--big-pharma-addicted-fraud,/news/-big-pharma-addicted-fraud,article,301
/a--big-pharma-revolving-door-keeps-spinning,/news/-big-pharma-revolving-door-keeps-spinning,article,301
/a--big-pharma-whistleblower-blogs-drugs,/news/-big-pharma-whistleblower-blogs-drugs,article,301
/a--big-political-coverup-1980s-pedophilering-uk-parliament,/news/-big-political-coverup-1980s-pedophilering-uk-parliament,article,301
/a--big-safety-net-strong-job-market-can-coexist-just-ask-scandinavia,/news/-big-safety-net-strong-job-market-can-coexist-just-ask-scandinavia,article,301
/a--big-short-housing-bubbles-retold-lies,/news/-big-short-housing-bubbles-retold-lies,article,301
/a--big-story-the-21st-century-this-most-shocking-documentary-the-year,/news/-big-story-the-21st-century-this-most-shocking-documentary-the-year,article,301
